pu_number,title,show_start_date,type,film_studio,production_country,director,producer,budget,box_office,refundable_support,nonrefundable_support,financing_source,ratings,genres,age_restriction
221048915,открытый простор,2015-11-27 12:00:00+00:00,художественный,"тачстоун пикчерз, кобальт пикчерз, бикон пикчерз, тиг продакшнз",сша,кевин костнер,"дэвид валдес, кевин костнер, джейк эбертс",0,0,0,0,нет данных,7.2,"боевик,драма,мелодрама",«18+» - запрещено для детей
111013716,особо важное задание,2016-09-13 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,е.матвеев,нет данных,0,0,0,0,нет данных,6.6,"драма,военный",«6+» - для детей старше 6 лет
221038416,особо опасен,2016-10-10 12:00:00+00:00,художественный,"юниверсал пикчерз, кикстарт продакшнз, марк платт продакшнз, рилейтивити медиа, спайгласс интертейнмент, стилкин филмз, топ кау продакшнз",сша,тимур бекмамбетов,"джим лемли, джейсон нетер, марк е.платт, яйн смит",0,0,0,0,нет данных,6.8,"фантастика,боевик,триллер",«18+» - запрещено для детей
221026916,особо опасен,2016-06-10 12:00:00+00:00,художественный,"юниверсал пикчерз, кикстарт продакшнз, марк платт продакшнз, рилейтивити медиа, спайгласс интертейнмент, стилкин филмз, топ кау продакшнз",сша,тимур бекмамбетов,"джим лемли, джейсон нетер, марк е.платт, яйн смит",0,0,0,0,нет данных,6.8,"фантастика,боевик,триллер",«18+» - запрещено для детей
221030815,особо опасен,2015-07-29 12:00:00+00:00,художественный,"юниверсал пикчерз, кикстарт продакшнз, марк платт продакшнз, рилейтивити медиа, спайгласс интертейнмент, стилкин филмз, топ кау продакшнз",сша,тимур бекмамбетов,"джим лемли, джейсон нетер, марк е.платт, яйн смит",0,0,0,0,нет данных,6.8,"фантастика,боевик,триллер",«18+» - запрещено для детей
111013816,остановился поезд,2016-09-13 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,в.абдрашитов,нет данных,0,0,0,0,нет данных,7.7,драма,«6+» - для детей старше 6 лет
111007013,любовь и голуби,2013-10-18 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,в.меньшов,нет данных,0,2700,0,0,нет данных,8.3,"мелодрама,комедия",«12+» - для детей старше 12 лет
221074614,любовь и сигареты,2014-12-29 12:00:00+00:00,художественный,"юнайтед артистс, грин стрит филмз, айкон интертейнмент интернэшнл",сша,джон туртурро,"джон пенотти, джон туртурро",0,0,0,0,нет данных,6.6,"мюзикл,мелодрама,комедия",«18+» - запрещено для детей
121011416,отпетые мошенники.,2016-05-05 12:00:00+00:00,художественный,"пульсар продюксьон, тф1 фильм ",франция,эрик беснард,патрис леду,0,0,0,0,нет данных,8.0,"комедия,криминал",«18+» - запрещено для детей
111019114,отпуск за свой счет,2014-12-01 12:00:00+00:00,художественный,"киностудия ""мосфильм"", телевидение внр","ссср, венгрия",в.титов,нет данных,0,0,0,0,нет данных,7.8,"мелодрама,комедия",«12+» - для детей старше 12 лет
221031416,превосходство борна /по одноименной новелле роберта ладлэма/,2016-06-29 12:00:00+00:00,художественный,"кеннеди/маршал компани, юниверсал пикчерз, гипнотик, калима продакшнз, лудлум интертейнмент",сша,пол грингросс,"патрик кроули, фрэнк маршалл, пол сэндберг",0,0,0,0,нет данных,7.7,"боевик,триллер,детектив",«16+» - для детей старше 16 лет
111019014,ответный ход,2014-12-01 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,м.туманишвили,нет данных,0,0,0,0,нет данных,7.8,"боевик,драма,приключения",«12+» - для детей старше 12 лет
221011415,"малышка на миллион /по мотивам рассказов ф.х.тула из сборника ""клейма от канатов""/",2015-04-03 12:00:00+00:00,художественный,"уорнер бразерс, лейкшор интертейнмент, малпасо продакшнз, альберт с.рудди продакшнз",сша,клинт иствуд,"клинт иствуд, том розенберг, альберт с.рудди, пол хаггис",0,0,0,0,нет данных,8.1,"драма,спорт",«16+» - для детей старше 16 лет
121003106,преданный садовник,2013-08-26 12:00:00+00:00,художественный,"потбойлер продакшнз, эпсилон моушн пикчерз, скайон филмз лимитед, юк филм каунсил",германия-великобритания,фернанду мейрелльеш,саймон чэннинг уильямс,0,0,0,0,нет данных,7.1,"триллер,драма,мелодрама",«16+» - для детей старше 16 лет
221008812,отель /по мотивам пьесы джона уэбстера/,2012-01-27 12:00:00+00:00,художественный,"кэтлей, отель продакшнс, мунстоун интертейнмент, рэд маллет продакшнс",великобритания - италия,майк фиггис,"этчи стро, анни стюарт, майк фиггис",0,0,0,0,нет данных,6.0,"комедия,мелодрама",«18+» - запрещено для детей
111014916,председатель,2016-09-13 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,а.салтыков,нет данных,0,0,0,0,нет данных,8.3,драма,«12+» - для детей старше 12 лет
111007513,осенний марафон,2013-10-18 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,г.данелия,нет данных,0,0,0,0,нет данных,8.0,"драма,мелодрама,комедия",«12+» - для детей старше 12 лет
111027914,осень,2014-12-24 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,а.смирнов,нет данных,0,0,0,0,нет данных,7.4,"драма,мелодрама",«12+» - для детей старше 12 лет
111003616,неподдающиеся,2016-02-12 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,ю.чулюкин,нет данных,0,360,0,0,нет данных,8.0,"мелодрама,комедия",«6+» - для детей старше 6 лет
111003716,неподсуден,2016-02-12 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,"в.краснопольский, в.усков",нет данных,0,420,0,0,нет данных,7.7,драма,«6+» - для детей старше 6 лет
111003316,незабываемый 1919-й год,2016-02-12 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,м.чиаурели,нет данных,0,0,0,0,нет данных,5.8,"драма,история",«12+» - для детей старше 12 лет
121015405,незаконченная жизнь,2015-05-06 12:00:00+00:00,художественный,"инишиэл интертейнмент групп, мирамакс филмз, персистент интертейнмент, революшн студиос, зе лэдд компани",сша,лассе халлстрем,"лесли холлеран, алан лэдд мл., келлиан лэдд, харви вайнстайн",0,0,0,0,нет данных,7.2,"драма,мелодрама,семейный",«12+» - для детей старше 12 лет
111007413,"операция ""ы"" и другие приключения шурика",2013-10-18 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,л.гайдай,нет данных,0,380,0,0,нет данных,8.7,"комедия,мелодрама,криминал",«6+» - для детей старше 6 лет
111003416,неизвестные страницы из жизни разведчика,2016-02-12 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,в.чеботарев,нет данных,0,0,0,0,нет данных,6.3,"драма,военный",«12+» - для детей старше 12 лет
111003516,неисправимый лгун,2016-02-12 12:00:00+00:00,художественный,"киностудия ""мосфильм""",ссср,в.азаров,нет данных,0,0,0,0,нет данных,7.7,комедия,«6+» - для детей старше 6 лет
